구분,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
경상남도,0,443,412,184,287,504,1374,1342,2637,1356,1946,1685,1647,821,1123,1383,714,1823,1670,936,1400,1031
경상남도,0,5776,3616,3257,3771,483,5040,8061,15316,6247,5143,1888,1712,2696,3706,2625,2310,3706,1416,2178,3100,2660
경상남도,0,0,0,0,0,0,0,0,0,0,5707,3121,2474,1763,2629,0,715,961,2743,885,2835,1667
경상남도,4148,3174,6281,2936,6300,3845,4919,3035,5200,5914,7887,1796,4836,5126,1351,1653,3962,2270,2666,3646,3240,1931
경상남도,0,1036,879,1065,1131,963,799,267,279,275,1416,696,382,79,361,428,107,1390,172,202,289,546
경상남도,0,746,931,413,1154,609,753,1703,1033,347,1107,15,361,400,4352,807,440,238,1134,959,1705,851
경상남도,0,0,0,0,0,0,0,0,568,717,1168,407,1014,871,635,0,1202,1149,766,173,655,1409
경상남도,0,0,0,0,0,0,0,0,1199,1964,2539,1451,955,1623,1034,0,1080,2553,2211,1595,1006,2258
대구광역시,6308,2786,2880,4070,2136,5848,1668,3367,6042,5549,4947,2282,3437,2178,3045,0,2708,3408,4242,2420,3615,2218
대구광역시,2461,3453,1263,2627,4016,4346,2438,4833,3956,3573,1278,998,1242,2343,1295,0,1229,1572,1858,1984,1927,2778
대구광역시,0,0,8049,7773,8229,6797,21507,7013,13844,7044,5013,6564,3978,8702,6893,6630,5089,3442,9474,17392,12111,3961
경상북도,0,0,0,0,0,0,0,0,0,0,0,693,665,532,898,683,1102,1192,2273,1041,1237,1391
경상북도,0,0,0,0,0,0,0,0,0,0,2878,1142,1663,3031,3016,0,4360,3847,5377,1878,2954,2118
경상북도,0,0,0,0,0,0,0,0,0,0,0,128,106,111,492,0,715,868,229,91,230,249
경상북도,0,1150,2830,973,961,1496,716,818,1601,1129,1528,1267,725,1831,903,0,4166,1838,2309,1922,2214,573
경상북도,0,635,1280,365,360,208,541,376,458,611,476,805,826,785,501,0,2107,2084,610,558,539,446
대구광역시,0,0,0,0,0,0,0,0,0,10592,2879,2030,2434,1504,6855,0,2482,2044,5139,1307,2924,3110
경상남도,0,0,0,0,0,0,0,0,7376,0,2170,1579,3146,5241,1530,0,1809,789,1525,885,2338,1802
경상남도,0,0,0,0,0,0,0,0,0,0,2068,1485,668,1022,910,0,1631,1388,456,771,1008,694
부산광역시,0,873,1116,712,641,401,320,414,502,320,119,406,465,333,485,0,631,358,1078,858,349,307
울산광역시,0,2924,1228,686,1706,1167,1046,1202,864,751,559,395,308,232,240,0,399,711,817,918,1256,2631
부산광역시,9518,14764,13947,13270,17619,21504,24725,16765,10804,48654,21341,19318,14879,15746,21597,17139,21263,24548,23754,27093,23768,29019
부산광역시,21170,30397,11414,15817,14938,44396,40179,41525,29649,24467,24939,33454,24819,39908,28409,21708,25783,26894,28234,18097,17104,18772
경상북도,0,1900,2481,510,611,1,38,346,351,282,50,349,97,157,155,0,131,199,0,0,0,0
경상북도,0,816,2552,505,1288,422,990,480,1578,2153,574,162,562,110,176,0,360,681,0,0,0,0
경상북도,0,0,0,0,0,4020,4777,3835,4681,974,3379,3375,7213,1982,3642,0,2674,4300,2391,2345,3385,4623
경상북도,0,0,1546,1670,2661,1071,3153,1026,3268,1696,3654,3563,5140,1279,2263,0,3398,5132,4744,3236,3572,2725
경상북도,0,0,3585,587,844,1038,7524,5175,7173,2925,1602,2576,1128,2316,3131,0,544,129,229,1692,1156,2601
경상북도,0,0,0,0,0,952,3835,350,2559,734,644,3345,6791,296,276,0,313,377,0,0,0,0
경상북도,0,0,0,0,0,686,592,407,750,309,229,578,300,134,426,0,580,542,0,0,0,0
