주소,축종,사육두수,발생일,지역코드,location,avg_temperature(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%)
충청남도 당진시 신평면 금천리,닭-종계,25800,20140307,129,서산,-0.8,0.0,2.5,49.5
충청남도 서산시 인지면 성리,닭-토종닭,12,20170102,129,서산,5.3,0.4,1.6,93.8
충청남도 당진시 합덕읍 석우리,닭-종계,24000,20180204,129,서산,-6.9,0.0,4.4,49.0
충청남도 당진시 정미면 대운산리,닭-종계,18000,20140310,129,서산,0.2,0.0,1.4,67.8
충청남도 당진시 우강면 부장리,야생오리-가창오리,0,20140123,129,서산,-1.3,0.0,1.0,86.3
충청북도 진천군 덕산면 인산리,오리-기타,9000,20140201,131,청주,5.5,4.5,1.1,63.6
충청북도 진천군 문백면 계산리,오리-종오리,2800,20161129,131,청주,2.2,0.0,1.2,42.8
충청북도 진천군 문백면 계산리,오리-종오리,10000,20140226,131,청주,7.1,0.0,1.4,59.9
충청북도 진천군 문백면 도하리,오리-종오리,10536,20161219,131,청주,7.2,0.3,0.8,74.8
충청북도 진천군 문백면 도하리,거위-비분류,700,20140421,131,청주,16.0,0.0,1.3,45.1
충청북도 진천군 이월면 동성리,오리-육용오리,17500,20161129,131,청주,2.2,0.0,1.2,42.8
충청북도 진천군 문백면 사양리,오리-종오리,2577,20161218,131,청주,4.2,0.0,0.7,69.5
충청북도 진천군 문백면 계산리,오리-종오리,11000,20161205,131,청주,8.1,0.0,1.7,61.3
충청북도 진천군 이월면 동성리,오리-육용오리,9185,20140203,131,청주,-0.7,0.0,2.1,52.3
충청북도 진천군 이월면 동성리,오리-육용오리,12000,20140203,131,청주,-0.7,0.0,2.1,52.3
충청북도 진천군 문백면 봉죽리,오리-육용오리,10800,20150303,131,청주,4.6,0.5,1.5,54.4
충청북도 진천군 덕산면 화상리,오리-육용오리,9500,20161202,131,청주,2.0,0.0,1.1,46.3
충청북도 진천군 덕산면 인산리,오리-육용오리,27000,20140204,131,청주,-5.7,0.0,2.1,33.1
충청북도 진천군 덕산면 합목리,오리-육용오리,15000,20161201,131,청주,5.5,0.0,1.9,56.6
충청북도 진천군 이월면 미잠리,오리-육용오리,9000,20161126,131,청주,0.3,0.0,0.9,74.8
충청북도 진천군 덕산면 인산리,오리-육용오리,9780,20140207,131,청주,3.0,0.0,2.4,52.9
충청북도 진천군 덕산면 인산리,오리-육용오리,29000,20161128,131,청주,2.8,0.0,1.4,56.6
충청북도 진천군 덕산면 용몽리,오리-육용오리,8500,20150302,131,청주,4.4,0.0,1.2,42.9
충청북도 진천군 덕산면 기전리,오리-육용오리,5500,20161202,131,청주,2.0,0.0,1.1,46.3
충청북도 진천군 덕산면 구산리,오리-육용오리,14000,20140207,131,청주,3.0,0.0,2.4,52.9
충청북도 진천군 덕산면 구산리,오리-육용오리,9900,20161130,131,청주,5.3,1.2,0.9,64.9
충청북도 진천군 덕산면 구산리,닭-종계,92500,20161208,131,청주,3.1,1.0,1.2,76.0
충청북도 증평군 도안면 화성리,닭-종계,18000,20140320,131,청주,7.2,3.0,2.1,64.5
충청북도 진천군 덕산면 화상리,닭-산란계,200000,20161202,131,청주,2.0,0.0,1.1,46.3
충청북도 진천군 이월면 삼용리,오리-육용오리,100000,20161203,131,청주,3.0,0.0,0.7,58.5
충청북도 진천군 이월면 동성리,오리-육용오리,9174,20140203,131,청주,-0.7,0.0,2.1,52.3
충청북도 진천군 이월면 삼용리,오리-육용오리,15000,20161129,131,청주,2.2,0.0,1.2,42.8
충청북도 청주시 흥덕구 오송읍 오송리,닭-육계,1500,20161204,131,청주,4.3,0.0,0.6,63.3
충청북도 청주시 흥덕구 오송읍 쌍청리,오리-육용오리,12000,20161129,131,청주,2.2,0.0,1.2,42.8
충청북도 청주시 흥덕구 오송읍 동평리,닭-산란계,173000,20161201,131,청주,5.5,0.0,1.9,56.6
충청북도 청주시 흥덕구 오송읍 동평리,닭-토종닭,125,20161212,131,청주,2.9,0.0,1.2,50.4
충청북도 청주시 흥덕구 강내면 궁현리,닭-토종닭,35000,20161210,131,청주,-0.1,0.0,1.2,46.4
충청북도 청주시 청원구 오창읍 성재리,오리-육용오리,10300,20161223,131,청주,0.4,0.6,2.3,70.5
충청북도 청주시 청원구 북이면 대길리,오리-육용오리,9400,20140303,131,청주,5.7,0.0,0.9,37.5
충청북도 청주시 서원구 현도면 중척리,야생오리-청둥오리,500,20140317,131,청주,13.7,0.0,1.6,65.4
충청북도 청원군 북이면 토성리,오리-육용오리,8500,20161120,131,청주,11.1,0.0,1.1,63.5
충청북도 진천군 이월면 삼용리,오리-육용오리,9000,20161129,131,청주,2.2,0.0,1.2,42.8
충청북도 진천군 초평면 오갑리,오리-육용오리,10200,20161126,131,청주,0.3,0.0,0.9,74.8
충청북도 진천군 초평면 오갑리,오리-육용오리,12800,20161125,131,청주,0.8,0.0,0.9,53.0
충청북도 진천군 진천읍 신정리,오리,5000,20031224,131,청주,4.2,0.0,0.7,79.5
충청북도 진천군 초평면 오갑리,오리-육용오리,12415,20140207,131,청주,3.0,0.0,2.4,52.9
충청북도 진천군 이월면 삼용리,오리-육용오리,5789,20140129,131,청주,2.1,0.0,0.5,49.8
충청북도 진천군 진천읍 문봉리,오리-육용오리,5000,20161219,131,청주,7.2,0.3,0.8,74.8
충청북도 진천군 이월면 중산리,오리-육용오리,15000,20140207,131,청주,3.0,0.0,2.4,52.9
충청북도 진천군 이월면 중산리,오리-육용오리,9060,20140207,131,청주,3.0,0.0,2.4,52.9
충청북도 진천군 이월면 중산리,오리-종오리,8500,20161205,131,청주,8.1,0.0,1.7,61.3
충청북도 진천군 이월면 중산리,닭-산란계,125,20161212,131,청주,2.9,0.0,1.2,50.4
충청북도 진천군 이월면 삼용리,오리-종오리,5000,20140127,131,청주,0.1,0.0,0.9,49.0
충청북도 진천군 이월면 삼용리,오리-육용오리,5,20140201,131,청주,5.5,4.5,1.1,63.6
충청북도 진천군 이월면 삼용리,오리-육용오리,7000,20161125,131,청주,0.8,0.0,0.9,53.0
충청북도 진천군 이월면 삼용리,오리-육용오리,4500,20161123,131,청주,0.4,0.0,1.8,35.9
충청북도 진천군 진천읍 상신리,닭-토종닭,30000,20161202,131,청주,2.0,0.0,1.1,46.3
충청북도 진천군 이월면 삼용리,오리-육용오리,13000,20161128,131,청주,2.8,0.0,1.4,56.6
충청북도 진천군 이월면 삼용리,오리-육용오리,13260,20161125,131,청주,0.8,0.0,0.9,53.0
세종특별자치시 연동면 문주리,닭-산란계,400000,20161212,133,대전,4.3,0.0,0.7,56.4
세종특별자치시 전의면 유천리,닭-산란계,150000,20161212,133,대전,4.3,0.0,0.7,56.4
세종특별자치시 연동면 응암리,닭-토종닭,1000,20161205,133,대전,8.9,0.2,1.9,69.1
세종특별자치시 소정면 고등리,닭-산란계,37000,20161212,133,대전,4.3,0.0,0.7,56.4
세종특별자치시 연서면 봉암리,닭-산란계,102000,20161220,133,대전,8.2,0.0,0.8,82.9
세종특별자치시 소정면 소정리,닭-산란계,130800,20140325,133,대전,14.9,4.8,1.0,78.5
세종특별자치시 전동면 보덕리,닭-산란계,700000,20161126,133,대전,0.2,3.0,0.7,87.5
세종특별자치시 전동면 심중리,오리-육용오리,7500,20161201,133,대전,5.6,0.0,2.0,65.3
세종특별자치시 전의면 유천리,닭-산란계,94000,20161214,133,대전,0.0,0.0,1.1,74.9
세종특별자치시 전동면 노장리,닭-산란계,79700,20161218,133,대전,3.8,0.0,0.6,78.5
세종특별자치시 소정면 대곡리,닭-산란계,30600,20140312,133,대전,4.1,33.3,0.6,85.9
세종특별자치시 소정면 고등리,닭-산란계,311500,20140303,133,대전,4.8,0.0,1.0,42.8
세종특별자치시 소정면 대곡리,닭-산란계,110000,20161213,133,대전,4.5,0.0,1.1,74.9
세종특별자치시 소정면 대곡리,닭-산란계,104400,20161214,133,대전,0.0,0.0,1.1,74.9
