주소,축종,"사육
두수",진단일,발생일,지역코드
경상남도 양산시 상북면 상삼리,닭-산란계,59905,20080514,20080514,288
경상남도 양산시 상북면 상삼리,닭-산란계,59905,20080513,20080513,288
경상남도 양산시 상북면 좌삼리,닭-산란계,53397,20161226,20161225,257
경상남도 양산시 원동면 화제리,닭-토종닭,441,20170607,20170603,257
경상남도 양산시 하북면 백록리,닭-산란계,17000,20040113,20040113,288
경상남도 진주시 수곡면 대천리,오리-육용오리,22000,20210109,20210108,192
경상남도 통영시 도산면 오륜리,칠면조-비분류,4651,20210219,20210218,162
경상남도 하동군 옥종면 문암리,오리-육용오리,13100,20210118,20210116,192
경상남도 하동군 옥종면 문암리,오리-육용오리,15900,20210116,20210114,192
경상남도 하동군 적량면 고절리,닭-산란계,3500,20140415,20140411,192
경상남도 하동군 진교면 고이리,오리-육용오리,3151,20170302,20170227,192
경상북도 경산시 갑제동,닭-기타,14700,20080513,20080513,281
경상북도 경산시 갑제동,닭-기타,14700,20080514,20080514,281
경상북도 경주시 내남면 이조리,메추리-비분류,10900,20210101,20201231,283
경상북도 경주시 산내면 대현리,닭-토종닭,130,20141201,20141124,283
경상북도 경주시 안강읍 육통리,닭-산란계,10650,20031224,20031224,138
경상북도 경주시 안강읍 육통리,닭-산란계,10650,20031221,20031221,138
경상북도 경주시 안강읍 육통리,닭-산란계,144000,20031224,20031224,138
경상북도 경주시 안강읍 육통리,닭-산란계,144000,20031224,20031224,138
경상북도 경주시 천북면 신당리,닭-산란계,8000,20201226,20201225,283
경상북도 경주시 천북면 신당리,닭-산란계,30000,20140312,20140307,283
경상북도 경주시 천북면 화산리,닭-산란계,60000,20140312,20140310,283
경상북도 구미시 선산읍 죽장리,닭-삼계,28000,20201215,20201214,279
경상북도 문경시 농암면 사현리,닭-산란계,38000,20210113,20210112,273
경상북도 상주시 공성면 무곡리,닭-산란계,188000,20201202,20201201,137
경상북도 성주군 용암면 덕평리,닭-산란계,201000,20110123,20110123,279
경상북도 영주시 장수면 호문리,오리-종오리,7200,20210217,20210215,272
경상북도 영천시 서산동,닭-산란계,18000,20110322,20110322,281
경상북도 영천시 오미동,닭-기타,66,20080501,20080501,281
경상북도 영천시 오미동,닭-기타,66,20080501,20080501,281
경상북도 영천시 오수동,닭-산란계,13200,20110406,20110406,281
경상북도 포항시 북구 청하면 신흥리,닭-산란계,240000,20210131,20210130,138
광주광역시 광산구 신창동,오리-육용오리,10298,20150927,20150922,156
광주광역시 북구 우산동,오리-육용오리,28,20150921,20150916,156
대구광역시 달성군 옥포면 본리리,닭-토종닭,50,20140619,20140616,143
대구광역시 동구 도동,닭-토종닭,160,20170623,20170621,143
대구광역시 수성구 만촌동,닭-육계,6,20080502,20080502,143
대구광역시 수성구 만촌동,닭-육계,6,20080502,20080502,143
부산광역시 강서구 대저1동,오리-육용오리,229,20080507,20080507,159
부산광역시 강서구 대저2동,닭-토종닭,880,20150121,20150113,159
부산광역시 강서구 대저2동,관상조류-기러기,880,20150121,20150113,159
부산광역시 기장군 일광면 삼성리,닭-토종닭,24,20161216,20161215,159
부산광역시 기장군 일광면 용천리,닭-토종닭,18,20170609,20170607,159
부산광역시 기장군 장안읍 오리,닭-토종닭,6000,20170607,20170604,159
부산광역시 기장군 장안읍 장안리,닭-기타,320,20080510,20080510,159
부산광역시 해운대구 반여동,닭-기타,26,20080510,20080510,159
서울특별시 광진구 자양동,닭-산란계,85,20080506,20080506,108
서울특별시 광진구 자양동,닭-산란계,85,20080505,20080505,108
서울특별시 송파구 장지동,오리-기타,9653,20080511,20080511,108
서울특별시 송파구 장지동,오리-기타,9653,20080511,20080511,108
세종특별자치시 부강면 등곡리,닭-산란계,140000,20210105,20210104,239
세종특별자치시 부강면 등곡리,닭-산란계,70000,20161208,20161206,133
세종특별자치시 부강면 등곡리,닭-산란계,70000,20140314,20140310,133
세종특별자치시 소정면 고등리,닭-토종닭,49000,20161228,20161225,133
세종특별자치시 소정면 고등리,닭-산란계,318000,20161217,20161215,133
세종특별자치시 소정면 고등리,닭-산란계,37000,20161214,20161212,133
세종특별자치시 소정면 고등리,닭-산란계,311500,20140307,20140303,133
세종특별자치시 소정면 대곡리,닭-산란계,60500,20161229,20161226,133
세종특별자치시 소정면 대곡리,닭-산란계,210000,20161217,20161214,133
세종특별자치시 소정면 대곡리,닭-산란계,104400,20161217,20161214,133
세종특별자치시 소정면 대곡리,닭-산란계,110000,20161215,20161213,133
세종특별자치시 소정면 대곡리,닭-산란계,25000,20161214,20161212,133
세종특별자치시 소정면 대곡리,닭-산란계,30600,20140314,20140312,133
세종특별자치시 소정면 소정리,닭-산란계,130800,20140328,20140325,133
세종특별자치시 연동면 문주리,닭-산란계,400000,20161214,20161212,133
세종특별자치시 연동면 응암리,닭-토종닭,1000,20161207,20161205,133
세종특별자치시 연서면 봉암리,닭-산란계,102000,20161222,20161220,133
세종특별자치시 전동면 노장리,닭-산란계,79700,20161220,20161218,133
세종특별자치시 전동면 보덕리,닭-산란계,700000,20161128,20161126,133
세종특별자치시 전동면 심중리,오리-육용오리,7500,20161203,20161201,133
세종특별자치시 전의면 유천리,닭-산란계,94000,20161216,20161214,133
세종특별자치시 전의면 유천리,닭-산란계,150000,20161214,20161212,133
울산광역시 남구 상개동,닭-토종닭,236,20170607,20170605,152
울산광역시 남구 상개동,닭-토종닭,91,20150216,20150211,152
울산광역시 남구 상개동,닭-토종닭,73,20150216,20150211,152
울산광역시 울주군 상북면 명촌리,닭-육계,3610,20031227,20031227,152
울산광역시 울주군 상북면 명촌리,닭-육계,3610,20031227,20031227,152
울산광역시 울주군 서생면 나사리,닭-토종닭,7000,20140430,20140423,152
울산광역시 울주군 언양읍 다개리,닭-토종닭,15,20170607,20170605,152
울산광역시 울주군 온산읍 삼평리,닭-토종닭,24,20170607,20170605,152
울산광역시 울주군 웅촌면,닭-기타,120,20080501,20080501,152
인천광역시 서구 공촌동,닭-토종닭,30,20161228,20161226,112
인천광역시 옹진군 영흥면 내리,야생조류-큰기러기,1,20140208,20140201,112
전라남도 강진군 강진읍 덕남리,닭-기타,60,20150928,20150921,259
전라남도 강진군 도암면 석문리,오리-종오리,8000,20170309,20170306,259
전라남도 강진군 도암면 석문리,오리-육용오리,22400,20170307,20170305,259
전라남도 강진군 도암면 석문리,오리-육용오리,40000,20170309,20170306,259
전라남도 강진군 성전면 금당리,오리-종오리,5900,20180111,20180110,259
전라남도 강진군 성전면 금당리,오리-종오리,16800,20170313,20170309,259
전라남도 강진군 성전면 금당리,오리-종오리,15000,20150513,20150428,259
전라남도 강진군 성전면 금당리,오리-육용오리,1,20140507,20140504,259
전라남도 강진군 신전면 송천리,오리-육용오리,8800,20170228,20170226,259
전라남도 강진군 작천면 갈동리,오리-종오리,22000,20180105,20180104,259
