년도,주소,시도,시군,축종명,경영체수 합계(건),시설여부(경영체 수),,경영형태(시설 개수),,사육 규모,단위
,,,,,,시설 없음,시설 있음,자영,임차,,
2016,충청북도충주시,충청북도,충주시,육계,73,0,80,64,16,3467120,마리
2016,충청북도충주시,충청북도,충주시,오리,9,0,11,8,3,222040,마리
2016,충청북도충주시,충청북도,충주시,꿩,4,0,4,3,1,10500,마리
2016,충청북도충주시,충청북도,충주시,타조,1,0,1,1,0,2,마리
2016,충청북도제천시,충청북도,제천시,육계,83,12,81,81,12,1254916,마리
2016,충청북도제천시,충청북도,제천시,칠면조,1,0,1,1,0,3,마리
2016,충청북도제천시,충청북도,제천시,오리,7,3,4,7,0,3147,마리
2016,충청북도제천시,충청북도,제천시,꿩,1,1,0,1,0,5,마리
2016,충청북도보은군,충청북도,보은군,육계,29,1,40,24,17,1004058,마리
2016,충청북도보은군,충청북도,보은군,메추리,2,0,2,2,0,201000,마리
2016,충청북도보은군,충청북도,보은군,꿩,1,0,1,0,1,50,마리
2016,충청북도옥천군,충청북도,옥천군,육계,12,0,13,12,1,319310,마리
2016,충청북도옥천군,충청북도,옥천군,오리,2,0,2,2,0,450,마리
2016,충청북도옥천군,충청북도,옥천군,메추리,2,0,2,2,0,810000,마리
2016,충청북도영동군,충청북도,영동군,육계,30,0,46,38,8,1154814,마리
2016,충청북도영동군,충청북도,영동군,오리,5,0,16,11,5,31300,마리
2016,충청북도영동군,충청북도,영동군,메추리,1,0,1,1,0,240000,마리
2016,충청북도증평군,충청북도,증평군,육계,10,0,10,8,2,301200,마리
2016,충청북도증평군,충청북도,증평군,꿩,1,0,1,0,1,10,마리
2016,충청북도진천군,충청북도,진천군,육계,51,1,71,38,34,2809530,마리
2016,충청북도진천군,충청북도,진천군,오리,46,0,92,34,58,562666,마리
2016,충청북도진천군,충청북도,진천군,메추리,1,0,1,1,0,200000,마리
2016,충청북도괴산군,충청북도,괴산군,육계,51,0,80,70,10,1948515,마리
2016,충청북도괴산군,충청북도,괴산군,오리,7,0,19,16,3,78500,마리
2016,충청북도음성군,충청북도,음성군,육계,70,0,150,111,39,4358137,마리
2016,충청북도음성군,충청북도,음성군,칠면조,1,0,1,1,0,20,마리
2016,충청북도음성군,충청북도,음성군,오리,72,1,153,125,29,1366882,마리
2016,충청북도음성군,충청북도,음성군,메추리,6,0,17,16,1,1199608,마리
2016,충청북도음성군,충청북도,음성군,타조,1,0,2,1,1,30,마리
2016,충청북도단양군,충청북도,단양군,육계,48,9,43,46,6,399007,마리
2016,충청북도단양군,충청북도,단양군,오리,2,1,1,2,0,36,마리
2016,충청남도천안시,충청남도,천안시,육계,73,0,141,87,54,2710842,마리
2016,충청남도천안시,충청남도,천안시,오리,27,0,81,54,27,313770,마리
2016,충청남도천안시,충청남도,천안시,메추리,5,0,5,4,1,369147,마리
2016,충청남도공주시,충청남도,공주시,육계,92,9,110,99,20,3364909,마리
2016,충청남도공주시,충청남도,공주시,칠면조,1,0,1,1,0,20,마리
2016,충청남도공주시,충청남도,공주시,오리,6,1,7,8,0,20264,마리
2016,충청남도공주시,충청남도,공주시,메추리,1,0,1,1,0,400000,마리
2016,충청남도공주시,충청남도,공주시,꿩,1,0,1,1,0,10000,마리
2016,충청남도공주시,충청남도,공주시,타조,1,0,1,1,0,9,마리
2016,충청남도보령시,충청남도,보령시,육계,72,3,119,105,17,3770701,마리
2016,충청남도아산시,충청남도,아산시,육계,73,0,91,66,25,2874678,마리
2016,충청남도아산시,충청남도,아산시,칠면조,1,0,1,1,0,30,마리
2016,충청남도아산시,충청남도,아산시,오리,8,0,13,6,7,102600,마리
2016,충청남도아산시,충청남도,아산시,메추리,1,0,1,1,0,300000,마리
2016,충청남도아산시,충청남도,아산시,꿩,1,0,1,1,0,20,마리
2016,충청남도서산시,충청남도,서산시,육계,56,11,53,60,4,1424367,마리
2016,충청남도서산시,충청남도,서산시,오리,2,1,1,2,0,22,마리
2016,충청남도서산시,충청남도,서산시,메추리,1,0,1,1,0,50000,마리
2016,충청남도논산시,충청남도,논산시,육계,100,0,188,164,24,4167530,마리
2016,충청남도논산시,충청남도,논산시,오리,7,0,30,24,6,245430,마리
2016,충청남도논산시,충청남도,논산시,메추리,1,0,1,1,0,200000,마리
2016,충청남도계룡시,충청남도,계룡시,육계,5,0,5,4,1,253,마리
2016,충청남도당진시,충청남도,당진시,육계,118,1,141,123,19,4967920,마리
2016,충청남도당진시,충청남도,당진시,칠면조,1,0,1,1,0,11,마리
2016,충청남도당진시,충청남도,당진시,오리,1,1,0,1,0,80,마리
2016,충청남도당진시,충청남도,당진시,메추리,1,0,1,1,0,80000,마리
2016,충청남도금산군,충청남도,금산군,육계,53,1,60,56,5,708515,마리
2016,충청남도금산군,충청남도,금산군,오리,5,0,6,6,0,25060,마리
2016,충청남도부여군,충청남도,부여군,육계,115,6,127,88,45,6035838,마리
2016,충청남도부여군,충청남도,부여군,오리,2,0,2,2,0,11500,마리
2016,충청남도부여군,충청남도,부여군,꿩,1,1,0,1,0,40,마리
2016,충청남도서천군,충청남도,서천군,육계,64,6,97,65,38,2069860,마리
2016,충청남도서천군,충청남도,서천군,칠면조,1,0,1,1,0,3,마리
2016,충청남도서천군,충청남도,서천군,오리,1,0,2,2,0,100,마리
2016,충청남도서천군,충청남도,서천군,타조,1,0,1,1,0,7,마리
2016,충청남도청양군,충청남도,청양군,육계,59,0,113,105,8,3290876,마리
2016,충청남도청양군,충청남도,청양군,오리,3,0,6,6,0,42800,마리
2016,충청남도홍성군,충청남도,홍성군,육계,69,1,107,87,21,3269202,마리
2016,충청남도홍성군,충청남도,홍성군,칠면조,1,1,0,1,0,1,마리
2016,충청남도홍성군,충청남도,홍성군,오리,4,1,11,8,4,31520,마리
2016,충청남도예산군,충청남도,예산군,육계,70,2,89,77,14,2494625,마리
2016,충청남도예산군,충청남도,예산군,오리,5,0,6,6,0,7643,마리
2016,충청남도예산군,충청남도,예산군,메추리,1,0,1,1,0,400000,마리
2016,충청남도예산군,충청남도,예산군,타조,1,0,1,1,0,1,마리
2016,충청남도태안군,충청남도,태안군,육계,27,6,23,27,2,699714,마리
2016,충청남도태안군,충청남도,태안군,메추리,1,0,1,1,0,38000,마리
2016,충청남도태안군,충청남도,태안군,타조,1,0,1,1,0,3,마리
2016,전라북도전주시,전라북도,전주시,육계,10,1,10,10,1,197150,마리
2016,전라북도군산시,전라북도,군산시,육계,31,8,40,38,10,870613,마리
2016,전라북도군산시,전라북도,군산시,오리,3,2,5,7,0,16050,마리
2016,전라북도군산시,전라북도,군산시,꿩,1,0,2,2,0,500,마리
2016,전라북도익산시,전라북도,익산시,육계,141,13,204,104,113,7404882,마리
2016,전라북도익산시,전라북도,익산시,칠면조,1,1,0,1,0,10,마리
2016,전라북도익산시,전라북도,익산시,오리,6,3,4,5,2,32730,마리
2016,전라북도익산시,전라북도,익산시,타조,1,0,1,1,0,2,마리
2016,전라북도정읍시,전라북도,정읍시,육계,141,0,207,119,88,7549960,마리
2016,전라북도정읍시,전라북도,정읍시,오리,53,0,86,40,46,958456,마리
2016,전라북도정읍시,전라북도,정읍시,메추리,1,0,1,1,0,270000,마리
2016,전라북도정읍시,전라북도,정읍시,타조,3,0,3,3,0,228,마리
2016,전라북도남원시,전라북도,남원시,육계,128,7,206,102,111,7608265,마리
2016,전라북도남원시,전라북도,남원시,오리,40,0,93,44,49,810510,마리
2016,전라북도남원시,전라북도,남원시,꿩,1,0,1,1,0,10000,마리
2016,전라북도김제시,전라북도,김제시,육계,95,0,147,97,50,3714495,마리
2016,전라북도김제시,전라북도,김제시,오리,18,0,20,13,7,324520,마리
2016,전라북도김제시,전라북도,김제시,메추리,2,0,2,2,0,420000,마리
2016,전라북도완주군,전라북도,완주군,육계,50,0,85,59,26,1985030,마리
2016,전라북도완주군,전라북도,완주군,칠면조,2,0,2,0,2,28,마리
2016,전라북도완주군,전라북도,완주군,오리,2,0,5,5,0,5900,마리
2016,전라북도완주군,전라북도,완주군,메추리,3,0,3,2,1,350020,마리
2016,전라북도완주군,전라북도,완주군,꿩,1,0,1,1,0,50,마리
2016,전라북도진안군,전라북도,진안군,육계,79,0,119,58,61,4354397,마리
2016,전라북도진안군,전라북도,진안군,오리,6,0,11,2,9,114500,마리
2016,전라북도진안군,전라북도,진안군,메추리,2,0,3,3,0,420000,마리
2016,전라북도진안군,전라북도,진안군,꿩,1,0,1,1,0,2000,마리
2016,전라북도무주군,전라북도,무주군,육계,7,0,8,8,0,170550,마리
2016,전라북도무주군,전라북도,무주군,오리,4,0,4,4,0,13400,마리
2016,전라북도장수군,전라북도,장수군,육계,24,1,32,15,18,848298,마리
2016,전라북도장수군,전라북도,장수군,오리,15,0,25,12,13,242580,마리
2016,전라북도임실군,전라북도,임실군,육계,71,11,103,89,25,3268166,마리
2016,전라북도임실군,전라북도,임실군,오리,9,0,11,5,6,153500,마리
2016,전라북도순창군,전라북도,순창군,육계,48,2,69,33,38,2448520,마리
2016,전라북도순창군,전라북도,순창군,칠면조,1,1,0,1,0,1,마리
2016,전라북도순창군,전라북도,순창군,오리,13,0,22,9,13,186200,마리
2016,전라북도순창군,전라북도,순창군,꿩,1,1,0,1,0,17,마리
2016,전라북도고창군,전라북도,고창군,육계,81,3,134,78,59,6145331,마리
2016,전라북도고창군,전라북도,고창군,오리,50,1,97,49,49,977747,마리
2016,전라북도고창군,전라북도,고창군,메추리,1,0,1,1,0,100000,마리
2016,전라북도고창군,전라북도,고창군,타조,1,0,1,1,0,40,마리
2016,전라북도부안군,전라북도,부안군,육계,77,1,110,80,31,4714150,마리
2016,전라북도부안군,전라북도,부안군,오리,47,0,73,32,41,821713,마리
2016,전라북도부안군,전라북도,부안군,메추리,1,0,1,1,0,140000,마리
2016,전라남도목포시,전라남도,목포시,육계,4,0,5,4,1,65285,마리
2016,전라남도여수시,전라남도,여수시,육계,103,9,103,104,8,577300,마리
2016,전라남도여수시,전라남도,여수시,칠면조,2,0,2,2,0,16,마리
2016,전라남도여수시,전라남도,여수시,오리,7,1,6,7,0,79,마리
2016,전라남도여수시,전라남도,여수시,꿩,1,0,1,1,0,50,마리
2016,전라남도여수시,전라남도,여수시,타조,1,0,1,0,1,2,마리
2016,전라남도순천시,전라남도,순천시,육계,65,10,65,66,9,1237969,마리
2016,전라남도순천시,전라남도,순천시,오리,8,1,12,8,5,169402,마리
2016,전라남도순천시,전라남도,순천시,메추리,1,0,1,1,0,60000,마리
2016,전라남도나주시,전라남도,나주시,육계,87,0,124,77,47,7097805,마리
