시도,시군구,year,month,철새수
강원도 ,횡성군,2014,11,1675
강원도 ,횡성군,2014,12,1632
강원도 ,횡성군,2015,1,1435
강원도 ,횡성군,2015,2,1561
강원도 ,횡성군,2015,3,1364
강원도 ,횡성군,2015,10,737
강원도 ,횡성군,2015,11,1226
강원도 ,횡성군,2015,12,1658
강원도 ,횡성군,2016,1,1911
강원도 ,횡성군,2016,2,1964
강원도 ,횡성군,2016,3,1582
강원도 ,횡성군,2016,10,816
강원도 ,횡성군,2016,11,1043
강원도 ,횡성군,2016,12,1099
강원도 ,횡성군,2017,1,1384
강원도 ,횡성군,2017,2,0
강원도 ,횡성군,2017,3,1684
강원도 ,횡성군,2017,10,1259
강원도 ,횡성군,2017,11,1246
강원도 ,횡성군,2017,12,2276
강원도 ,횡성군,2018,1,3361
강원도 ,횡성군,2018,2,3166
강원도 ,횡성군,2018,3,2764
강원도 ,횡성군,2018,10,1366
강원도 ,횡성군,2018,11,2058
강원도 ,횡성군,2018,12,747
강원도 ,횡성군,2019,1,777
강원도 ,횡성군,2019,2,1180
강원도 ,횡성군,2019,3,2571
강원도 ,횡성군,2019,10,1508
강원도 ,횡성군,2019,11,1998
강원도 ,횡성군,2019,12,2254
강원도 ,횡성군,2020,1,2281
강원도 ,횡성군,2020,2,2038
강원도 ,횡성군,2020,3,2437
강원도 ,횡성군,2020,10,1045
강원도 ,횡성군,2020,11,1767
강원도 ,횡성군,2020,12,1462
강원도 ,횡성군,2021,1,2910
강원도 ,횡성군,2021,2,3439
강원도 ,횡성군,2021,3,2421
강원도 ,화천군,2014,10,0
강원도 ,화천군,2014,11,0
강원도 ,화천군,2014,12,992
강원도 ,화천군,2015,1,0
강원도 ,화천군,2015,2,0
강원도 ,화천군,2015,3,0
강원도 ,화천군,2015,10,0
강원도 ,화천군,2015,11,0
강원도 ,화천군,2015,12,1171
강원도 ,화천군,2016,1,1165
강원도 ,화천군,2016,2,0
강원도 ,화천군,2016,3,0
강원도 ,화천군,2016,10,0
강원도 ,화천군,2016,11,0
강원도 ,화천군,2016,12,1126
강원도 ,화천군,2017,1,1650
강원도 ,화천군,2017,2,0
강원도 ,화천군,2017,3,0
강원도 ,화천군,2017,10,0
강원도 ,화천군,2017,11,0
강원도 ,화천군,2017,12,1100
강원도 ,화천군,2018,1,1015
강원도 ,화천군,2018,2,947
강원도 ,화천군,2018,3,0
강원도 ,화천군,2018,10,0
강원도 ,화천군,2018,11,0
강원도 ,화천군,2018,12,1376
강원도 ,화천군,2019,1,1528
강원도 ,화천군,2019,2,0
강원도 ,화천군,2019,3,0
강원도 ,화천군,2019,10,0
강원도 ,화천군,2019,11,0
강원도 ,화천군,2019,12,2341
강원도 ,화천군,2020,1,3095
강원도 ,화천군,2020,2,0
강원도 ,화천군,2020,3,0
강원도 ,화천군,2020,10,0
강원도 ,화천군,2020,11,0
강원도 ,화천군,2020,12,1606
강원도 ,화천군,2021,1,1210
강원도 ,화천군,2021,2,0
강원도 ,화천군,2021,3,0
경기도 ,가평군,2014,10,0
경기도 ,가평군,2014,11,0
경기도 ,가평군,2014,12,992
경기도 ,가평군,2015,1,0
경기도 ,가평군,2015,2,0
경기도 ,가평군,2015,3,0
경기도 ,가평군,2015,10,0
경기도 ,가평군,2015,11,0
경기도 ,가평군,2015,12,1171
경기도 ,가평군,2016,1,1165
경기도 ,가평군,2016,2,0
경기도 ,가평군,2016,3,0
경기도 ,가평군,2016,10,0
경기도 ,가평군,2016,11,0
경기도 ,가평군,2016,12,1126
경기도 ,가평군,2017,1,1650
경기도 ,가평군,2017,2,0
경기도 ,가평군,2017,3,0
경기도 ,가평군,2017,10,0
경기도 ,가평군,2017,11,0
경기도 ,가평군,2017,12,1100
경기도 ,가평군,2018,1,1015
경기도 ,가평군,2018,2,947
경기도 ,가평군,2018,3,0
경기도 ,가평군,2018,10,0
경기도 ,가평군,2018,11,0
경기도 ,가평군,2018,12,1376
경기도 ,가평군,2019,1,1528
경기도 ,가평군,2019,2,0
경기도 ,가평군,2019,3,0
경기도 ,가평군,2019,10,0
경기도 ,가평군,2019,11,0
경기도 ,가평군,2019,12,2341
경기도 ,가평군,2020,1,3095
경기도 ,가평군,2020,2,0
경기도 ,가평군,2020,3,0
경기도 ,가평군,2020,10,0
경기도 ,가평군,2020,11,0
경기도 ,가평군,2020,12,1606
경기도 ,가평군,2021,1,1210
경기도 ,가평군,2021,2,0
경기도 ,가평군,2021,3,0
강원도 ,춘천시,2014,10,0
강원도 ,춘천시,2014,11,0
강원도 ,춘천시,2014,12,935
강원도 ,춘천시,2015,1,0
강원도 ,춘천시,2015,2,0
강원도 ,춘천시,2015,3,0
강원도 ,춘천시,2015,10,0
강원도 ,춘천시,2015,11,0
강원도 ,춘천시,2015,12,1076
강원도 ,춘천시,2016,1,468
강원도 ,춘천시,2016,2,0
강원도 ,춘천시,2016,3,0
강원도 ,춘천시,2016,10,0
강원도 ,춘천시,2016,11,0
강원도 ,춘천시,2016,12,855
강원도 ,춘천시,2017,1,779
강원도 ,춘천시,2017,2,0
강원도 ,춘천시,2017,3,0
강원도 ,춘천시,2017,10,497
강원도 ,춘천시,2017,11,821
강원도 ,춘천시,2017,12,830
강원도 ,춘천시,2018,1,712
강원도 ,춘천시,2018,2,1075
강원도 ,춘천시,2018,3,2576
강원도 ,춘천시,2018,10,986
강원도 ,춘천시,2018,11,1617
강원도 ,춘천시,2018,12,982
강원도 ,춘천시,2019,1,1221
강원도 ,춘천시,2019,2,2150
강원도 ,춘천시,2019,3,3179
강원도 ,춘천시,2019,10,958
