month,시도,avg_temp(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%),index_avg_temp(C),index_daily_rain(mm),index_avg_wind(m/s),index_avg_r_humidity(%),Risk
9,경상북도,0,0,0,0,0,0,0,0,0.0
9,경상북도,0,0,0,0,0,0,0,0,0.0
9,경상북도,0,0,0,0,0,0,0,0,0.0
9,경상북도,0,0,0,0,0,0,0,0,0.0
9,경상북도,0,0,0,0,0,0,0,0,0.0
9,경상북도,0,0,0,0,0,0,0,0,0.0
9,경상북도,0,0,0,0,0,0,0,0,0.0
9,경상북도,0,0,0,0,0,0,0,0,0.0
9,경상북도,0,0,0,0,0,0,0,0,0.0
9,경상북도,0,0,0,0,0,0,0,0,0.0
9,부산광역시,0,0,0,0,0,0,0,0,0.0
9,부산광역시,0,0,0,0,0,0,0,0,0.0
9,부산광역시,0,0,0,0,0,0,0,0,0.0
9,부산광역시,0,0,0,0,0,0,0,0,0.0
9,부산광역시,0,0,0,0,0,0,0,0,0.0
9,부산광역시,0,0,0,0,0,0,0,0,0.0
9,부산광역시,0,0,0,0,0,0,0,0,0.0
9,부산광역시,0,0,0,0,0,0,0,0,0.0
9,부산광역시,0,0,0,0,0,0,0,0,0.0
9,부산광역시,0,0,0,0,0,0,0,0,0.0
9,세종특별자치시,0,0,0,0,0,0,0,0,0.0
9,세종특별자치시,0,0,0,0,0,0,0,0,0.0
9,세종특별자치시,0,0,0,0,0,0,0,0,0.0
9,세종특별자치시,0,0,0,0,0,0,0,0,0.0
9,세종특별자치시,0,0,0,0,0,0,0,0,0.0
9,세종특별자치시,0,0,0,0,0,0,0,0,0.0
9,세종특별자치시,0,0,0,0,0,0,0,0,0.0
9,세종특별자치시,0,0,0,0,0,0,0,0,0.0
9,세종특별자치시,0,0,0,0,0,0,0,0,0.0
9,세종특별자치시,0,0,0,0,0,0,0,0,0.0
9,대전광역시,0,0,0,0,0,0,0,0,0.0
9,대전광역시,0,0,0,0,0,0,0,0,0.0
9,대전광역시,0,0,0,0,0,0,0,0,0.0
9,대전광역시,0,0,0,0,0,0,0,0,0.0
9,대전광역시,0,0,0,0,0,0,0,0,0.0
9,대전광역시,0,0,0,0,0,0,0,0,0.0
9,대전광역시,0,0,0,0,0,0,0,0,0.0
