구분,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,평균
섬참새,0,0,0,0,0,0,0
참새,16520,19704,31183,33775,18044,16196,22570.33
얼룩무늬납부리새,0,0,0,0,0,0,0
바위종다리,0,0,0,0,0,0,0
멧종다리,3,14,25,26,21,2,15.17
쇠바위종다리,0,0,0,0,0,0,0
물레새,0,0,0,0,0,0,0
긴발톱할미새,22,0,0,0,0,0,3.67
노랑머리할미새,0,0,0,0,0,0,0
노랑할미새,38,23,13,9,8,6,16.17
알락할미새,669,961,1193,1047,798,1060,954.67
검은등할미새,121,148,188,225,176,155,168.83
큰밭종다리,11,15,0,1,0,1,4.67
쇠밭종다리,0,0,0,0,0,0,0
풀밭종다리,0,0,0,0,0,0,0
나무밭종다리,0,0,0,0,0,0,0
힝둥새,774,271,279,180,64,78,274.33
흰등밭종다리,0,0,0,0,0,0,0
한국밭종다리,0,0,0,0,0,0,0
붉은가슴밭종다리,7,34,0,0,0,0,6.83
밭종다리,391,906,1728,1458,1208,854,1090.83
옅은밭종다리,0,0,0,0,0,0,0
푸른머리되새,0,0,0,0,0,0,0
되새,8379,1327,1569,2678,556,914,2570.5
방울새,1311,1559,3804,4418,1577,1792,2410.17
검은머리방울새,0,47,167,203,0,437,142.33
홍방울새,0,0,0,0,0,0,0
쇠홍방울새,0,0,0,0,0,0,0
갈색양진이,0,0,0,0,0,0,0
긴꼬리홍양진이,0,3,19,63,12,17,19
붉은양진이,0,0,0,0,0,0,0
양진이,0,0,0,10,1,0,1.83
솔양진이,0,0,0,0,0,0,0
솔잣새,0,0,0,0,0,0,0
흰죽지솔잣새,0,0,0,0,0,0,0
멋쟁이새,0,0,0,6,9,0,2.5
콩새,0,5,75,75,12,14,30.17
밀화부리,227,108,181,325,86,240,194.5
큰부리밀화부리,0,0,0,7,0,0,1.17
노랑멧새,0,0,0,0,0,0,0
흰머리멧새,0,0,0,0,0,0,0
바위멧새,0,0,0,0,0,0,0
멧새,131,114,169,390,198,186,198
점박이멧새,0,0,0,0,0,0,0
회색머리멧새,0,0,0,0,0,0,0
흰배멧새,42,0,0,1,0,1,7.33
붉은뺨멧새,0,0,0,0,0,0,0
쇠붉은뺨멧새,0,8,3,15,24,58,18
노랑눈썹멧새,0,0,0,0,0,3,0.5
쑥새,1547,2431,3646,4238,2939,1666,2744.5
노랑턱멧새,435,2448,4047,5134,2754,1846,2777.33
검은머리촉새,0,0,0,0,0,0,0
꼬까참새,2,0,0,0,0,0,0.33
검은머리멧새,0,0,0,0,0,0,0
붉은머리멧새,0,0,0,0,0,0,0
무당새,0,0,0,0,0,0,0
촉새,502,133,165,90,79,126,182.5
검은멧새,0,0,0,0,0,0,0
북방검은머리쑥새,16,662,784,539,482,342,470.83
쇠검은머리쑥새,0,0,0,1,0,3,0.67
검은머리쑥새,0,50,21,44,82,52,41.5
긴발톱멧새,0,580,477,17,490,0,260.67
흰멧새,0,0,0,0,0,0,0
흰정수리북미멧새,0,0,0,0,0,0,0
노랑정수리멧새,0,0,0,0,0,0,0
초원멧새,0,0,0,0,0,0,0
집비둘기,1690,2655,5307,6398,3337,2312,3616.5
미동정 조류,0,0,0,0,0,0,0
미동정 수조류,0,0,40,76,0,0,19.33
미동정 산새류,2,0,0,0,0,0,0.33
미동정 아비류,0,0,0,0,0,0,0
미동정 가마우지류,0,0,135,91,0,0,37.67
미동정 백로류,0,0,0,0,0,0,0
미동정 고니류,0,0,0,0,0,0,0
미동정 기러기류,0,0,15000,17400,0,53,5408.83
미동정 오리류,0,1152,1,6500,41,1,1282.5
미동정 흰죽지류,0,0,2,0,0,5000,833.67
미동정 맹금류,0,0,0,2,0,0,0.33
미동정 소형도요류,0,0,0,0,0,0,0
미동정 중형도요류,0,0,0,0,0,0,0
미동정 도요류,13,0,0,0,300,0,52.17
미동정 갈매기류,13,0,4017,5650,0,2,1613.67
미동정 밭종다리류,0,0,66,0,0,0,11
,,,,,,,
